,images,Text,confidenceOCR
215,images/Cropped Image677.jpg,BARKING,0.9988463741175875
216,images/Cropped Image678.jpg,BARKING,0.99987068406527
217,images/Cropped Image679.jpg,Meryur Fjord,0.19867072308354608
218,images/Cropped Image684.jpg,ERO L,0.639685761051999
219,images/Cropped Image686.jpg,ERO L,0.6226769516351723
220,images/Cropped Image687.jpg,ES JaCT,0.10530990795325802
221,images/Cropped Image690.jpg,NO smoking,0.5072542739696961
222,images/Cropped Image690.jpg,} &,0.2209830375097123
223,images/Cropped Image690.jpg,FU RONG FENG,0.9925211894531639
224,images/Cropped Image690.jpg,COScO SHIpPING,0.2322865850289047
225,images/Cropped Image691.jpg,smoking,0.6344442495353543
226,images/Cropped Image692.jpg,smoking,0.5565679550021426
227,images/Cropped Image692.jpg,CoScO Shipping,0.3788412501191195
228,images/Cropped Image693.jpg,NAVESc0,0.7889520794156816
229,images/Cropped Image693.jpg,SIDER TAYRONA,0.6566850640590638
230,images/Cropped Image693.jpg,NAVEGCO ,0.4895792554411836
231,images/Cropped Image694.jpg,NAVESc0,0.6115911663933137
232,images/Cropped Image695.jpg,VF,0.19560804185264816
233,images/Cropped Image695.jpg,ME,0.492828467119557
234,images/Cropped Image695.jpg,MeIK,0.10780606418848038
235,images/Cropped Image695.jpg,WK,0.351953023050357
236,images/Cropped Image695.jpg,WETK,0.1856033056974411
237,images/Cropped Image695.jpg,Wei,0.10256359132057614
238,images/Cropped Image695.jpg,WE,0.4415255577114467
239,images/Cropped Image695.jpg,WR,0.19260829088779124
240,images/Cropped Image695.jpg,W,0.3514371644387779
241,images/Cropped Image695.jpg,Wa,0.361702993528599
242,images/Cropped Image695.jpg,WR,0.34086525632174064
243,images/Cropped Image695.jpg,WE,0.36123335321530436
244,images/Cropped Image695.jpg,K,0.23101411641065184
245,images/Cropped Image696.jpg,No SMoking,0.6420986413739089
246,images/Cropped Image696.jpg,SOLAR SHERIdan,0.5060070541378795
247,images/Cropped Image697.jpg,SOLAR SHERIdan,0.653685181753868
248,images/Cropped Image698.jpg,No SMoking,0.4739491429703666
249,images/Cropped Image699.jpg,MANDARN CHMA,0.37033679704458505
250,images/Cropped Image699.jpg,D A $ / N,0.3752707005868114
251,images/Cropped Image701.jpg,MANDARN CHha,0.3017095012110605
252,images/Cropped Image701.jpg,D A $ / N,0.5115756844327258
253,images/Cropped Image702.jpg,MANDARN CHHA,0.3588805407340321
254,images/Cropped Image703.jpg,NO sMOkinG,0.23647271048221835
255,images/Cropped Image704.jpg,NO SMOKING,0.18753531500771436
256,images/Cropped Image705.jpg,VOGe DIGNItY,0.18965035110829873
257,images/Cropped Image706.jpg,Moning,0.9073311886481975
258,images/Cropped Image707.jpg,Moning,0.8757877703244374
259,images/Cropped Image711.jpg,No SMOKING,0.8892902776245354
260,images/Cropped Image711.jpg,MAERSK Timaru,0.7658407507628402
261,images/Cropped Image712.jpg,No SMOKING,0.8637548370531317
262,images/Cropped Image713.jpg,MAERSK Tinaru,0.5726484958828585
263,images/Cropped Image714.jpg,No SMOKING,0.8034557012310046
264,images/Cropped Image715.jpg,StaR HarMOnY,0.15170366354424658
265,images/Cropped Image716.jpg,Star Harmony,0.40024544740047957
266,images/Cropped Image719.jpg,eourade,0.14047473286837597
267,images/Cropped Image719.jpg,Sedurede,0.18409682883303888
268,images/Cropped Image719.jpg,HELLAS,0.9851328511535324
269,images/Cropped Image719.jpg,REEFER,0.8730434704032253
270,images/Cropped Image720.jpg,HELLAS,0.9818508552976029
271,images/Cropped Image720.jpg,REEFER,0.9015487692372929
272,images/Cropped Image721.jpg,Murray star,0.17741217730213793
273,images/Cropped Image721.jpg,ValLETTA,0.2650375622624713
274,images/Cropped Image722.jpg,hurray StaR,0.15796660851192507
275,images/Cropped Image722.jpg,ValLETTA,0.23040762669291803
276,images/Cropped Image728.jpg,cha CCh,0.24112856913263075
277,images/Cropped Image731.jpg,MARFReT Provence,0.16819621364712325
278,images/Cropped Image731.jpg,MaRFRET,0.10377198017212501
279,images/Cropped Image732.jpg,Provence,0.17634930973643748
280,images/Cropped Image733.jpg,MARFREY ,0.2344393762215374
281,images/Cropped Image734.jpg,no,0.6113956445464064
282,images/Cropped Image734.jpg,smokinG,0.49709448233123593
283,images/Cropped Image734.jpg,Loch Lomond,0.6777555997261312
284,images/Cropped Image735.jpg,Loch Lohond,0.6222325403448272
285,images/Cropped Image736.jpg,Loch Lohond,0.4090781928019342
286,images/Cropped Image737.jpg,SAFETY,0.8668241226880494
287,images/Cropped Image737.jpg,FIRST,0.9905542814181708
288,images/Cropped Image737.jpg,nO,0.4811348999198245
289,images/Cropped Image737.jpg,smoking,0.566151712133594
290,images/Cropped Image737.jpg,cathy THERES,0.9130902507131401
291,images/Cropped Image738.jpg,nO,0.49610867523198304
292,images/Cropped Image738.jpg,smoking,0.6617332481352234
293,images/Cropped Image738.jpg,cathy THERESA,0.9213043085694484
294,images/Cropped Image740.jpg,SAFETY,0.9128708814710041
295,images/Cropped Image740.jpg,FIR ST,0.8183127442331933
296,images/Cropped Image740.jpg,nO,0.3591686799286666
297,images/Cropped Image740.jpg,Smoking,0.3300294113461557
298,images/Cropped Image746.jpg,DrEY,0.26582708954811096
299,images/Cropped Image746.jpg,AZAMARA,0.7191430669172794
300,images/Cropped Image746.jpg,Clue Cavisle,0.1199872369375304
301,images/Cropped Image749.jpg,E,0.7022904522528393
302,images/Cropped Image749.jpg,Ie(,0.15651658655867948
303,images/Cropped Image749.jpg,MEK,0.19743378000323683
304,images/Cropped Image749.jpg,MEK,0.1825046943375631
305,images/Cropped Image749.jpg,MET,0.19661190559702255
306,images/Cropped Image749.jpg,WEk,0.10599037202976318
307,images/Cropped Image749.jpg,07,0.32882374935934183
308,images/Cropped Image749.jpg,WEC,0.9128902009560229
309,images/Cropped Image749.jpg,W6,0.13880576455331312
310,images/Cropped Image749.jpg,15,0.37637595082500913
311,images/Cropped Image749.jpg,ME,0.14402233684236845
312,images/Cropped Image749.jpg,WR,0.23746809604611022
313,images/Cropped Image749.jpg,WEK,0.1338036708168575
314,images/Cropped Image749.jpg,WE,0.15425635967566675
315,images/Cropped Image749.jpg,UsUM,0.18514353036880493
316,images/Cropped Image750.jpg,FERRV,0.41297822343563606
317,images/Cropped Image750.jpg,DUCHESS,0.9908980403036601
318,images/Cropped Image751.jpg,FERR,0.5669052004814148
319,images/Cropped Image751.jpg,DUCHESS,0.9727716850758317
320,images/Cropped Image752.jpg,SC NORDIC,0.6800487419918938
321,images/Cropped Image752.jpg,SE,0.7565896903037952
322,images/Cropped Image753.jpg,SC NORDIC,0.8116807084783533
323,images/Cropped Image753.jpg,SEA CarGO,0.4366243275445366
324,images/Cropped Image755.jpg,CArcO,0.12087439679567984
325,images/Cropped Image760.jpg,Victor Morta,0.33457635137661557
326,images/Cropped Image761.jpg,Victor Morta ,0.4502706304504245
327,images/Cropped Image763.jpg,SILVERS,0.6593176101421181
328,images/Cropped Image763.jpg,SILVER,0.9950546775738626
329,images/Cropped Image763.jpg,WIND,0.6393137486774753
330,images/Cropped Image764.jpg,SILVERE,0.4348729311688144
331,images/Cropped Image764.jpg,HAAA,0.11679733544588089
332,images/Cropped Image765.jpg,ASTOR,0.999950526305628
333,images/Cropped Image778.jpg,Ccv Africa Theee,0.13650952828089705
334,images/Cropped Image778.jpg,cMa c [ M,0.23837327182577592
335,images/Cropped Image779.jpg,Ca,0.1926065477750193
336,images/Cropped Image779.jpg,Africa Theer,0.1336636235095235
337,images/Cropped Image779.jpg,cma c 0 M,0.14617493256366929
338,images/Cropped Image780.jpg,COOPER,0.9613804677301107
339,images/Cropped Image781.jpg,COOpER,0.29770118637435833
340,images/Cropped Image782.jpg,Cooper ^,0.10250887773882614
341,images/Cropped Image784.jpg,SEAHAKE,0.9996488067933131
